No,Lokasi,Kecamatan,Tipe Hunian,Kondisi,Luas Tanah,Luas Bangunan,Kepemilikan,Lebar Jalan,Jumlah Lantai,Jumlah KT,Jumlah KM,Garasi,Daya Listrik,Rooftop,Sumber Air,Tipe Furnish,Harga
1,KABUPATEN BANDUNG,BOJONGSOANG,LANDED HOUSE,BARU,65,55,SHM,5,1,3,2,ADA,2200,TIDAK,PDAM,NON FURNISHED,752000000
2,KABUPATEN BANDUNG,CILEUNYI,LANDED HOUSE,BARU,131,115,SHM,5,3,3,3,ADA,2200,TIDAK,PDAM,NON FURNISHED,1290000000
3,KABUPATEN BANDUNG,BOJONGSOANG,LANDED HOUSE,BARU,112,127,SHM,5,2,3,3,TIDAK,3500,TIDAK,PDAM,NON FURNISHED,2760000000
4,KABUPATEN BANDUNG,BOJONGSOANG,LANDED HOUSE,BARU,200,225,SHM,5,2,4,4,ADA,2200,TIDAK,PDAM,NON FURNISHED,3680000000
5,KOTA BANDUNG,SUKASARI,LANDED HOUSE,BEKAS,135,300,SHM,6,3,6,2,ADA,3300,TIDAK,PDAM,NON FURNISHED,2800000000
6,KABUPATEN BANDUNG BARAT,PADALARANG,LANDED HOUSE,BEKAS,120,94,HGB,5,2,3,2,TIDAK,2200,TIDAK,PDAM,NON FURNISHED,2100000000
7,KOTA BANDUNG,SUKASARI,LANDED HOUSE,BEKAS,647,306,SHM,5,1,3,4,ADA,5500,TIDAK,SUMUR BOR,SEMI FURNISHED,7940000000
8,KOTA BANDUNG,CIDADAP,APARTEMENTT,BEKAS,48,48,HGB,6,1,2,1,ADA,2200,TIDAK,PDAM,FULL FURNISHED,700000000
9,KOTA BANDUNG,BATUNUNGGAL,APARTEMENTT,BEKAS,36,36,SHM,17,1,2,1,ADA,1300,TIDAK,PDAM,SEMI FURNISHED,230000000
10,KOTA BANDUNG,ARCAMANIK,LANDED HOUSE,BEKAS,219,184,SHM,4,2,4,2,ADA,2200,TIDAK,PDAM,NON FURNISHED,2610000000
11,JAKARTA TIMUR,PASAR REBO,LANDED HOUSE,BARU,60,127,SHM,5,3,3,3,ADA,3500,TIDAK,KOMBINASI,NON FURNISHED,2490000000
12,JAKARTA TIMUR,CAKUNG,LANDED HOUSE,BEKAS,108,120,SHM,5,2,3,3,ADA,2200,TIDAK,PDAM,SEMI FURNISHED,1550000000
13,JAKARTA SELATAN,PASAR MINGGU,LANDED HOUSE,BEKAS,360,300,SHM,5,1,3,3,ADA,4400,TIDAK,SUMUR BOR,SEMI FURNISHED,6700000000
14,JAKARTA SELATAN,JAGAKARSA,LANDED HOUSE,BARU,80,140,SHM,6,2,4,4,ADA,2200,TIDAK,PDAM,SEMI FURNISHED,2700000000
15,JAKARTA TIMUR,DUREN SAWIT,LANDED HOUSE,BEKAS,222,123,SHM,4,2,2,2,ADA,2200,TIDAK,SUMUR BOR,NON FURNISHED,1630000000
16,JAKARTA SELATAN,KEBAYORAN LAMA,LANDED HOUSE,BEKAS,300,630,HGB,6,3,5,4,ADA,13200,ADA,SUMUR BOR,FULL FURNISHED,17000000000
17,JAKARTA BARAT,KEMBANGAN,APARTEMENTT,BARU,98,98,HGB,6,1,2,2,ADA,2200,TIDAK,PDAM,FULL FURNISHED,4300000000
18,JAKARTA SELATAN,PASAR MINGGU,LANDED HOUSE,BEKAS,98,222,SHM,6,3,4,4,ADA,7700,TIDAK,PDAM,FULL FURNISHED,5890000000
19,JAKARTA UTARA,PENJARINGAN,LANDED HOUSE,BEKAS,200,450,SHM,5,5,5,4,ADA,4400,TIDAK,PDAM,NON FURNISHED,8900000000
20,JAKARTA UTARA,PENJARINGAN,LANDED HOUSE,BARU,332,1200,SHM,6,3,6,9,ADA,41500,ADA,PDAM,SEMI FURNISHED,19900000000
21,KOTA BEKASI,BEKASI UTARA,LANDED HOUSE,BEKAS,136,300,SHM,8,3,3,3,ADA,4400,TIDAK,PDAM,FULL FURNISHED,3500000000
22,KABUPATEN BEKASI,CIBITUNG,LANDED HOUSE,BEKAS,72,45,SHM,4,1,2,1,ADA,1300,TIDAK,PDAM,NON FURNISHED,650000000
23,KOTA BEKASI,MUSTIKA JAYA,LANDED HOUSE,BARU,72,45,SHM,4,2,2,1,ADA,1300,TIDAK,SUMUR BOR,NON FURNISHED,888000000
24,KOTA BEKASI,BEKASI SELATAN,LANDED HOUSE,BEKAS,77,154,SHM,4,2,3,2,ADA,1300,TIDAK,PDAM,SEMI FURNISHED,650000000
25,KOTA BEKASI,BEKASI UTARA,LANDED HOUSE,BEKAS,105,78,SHM,4,2,4,2,ADA,2200,TIDAK,SUMUR BOR,SEMI FURNISHED,910000000
26,KABUPATEN BEKASI ,TAMBUN SELATAN,LANDED HOUSE,BEKAS,162,120,SHM,6,2,3,2,ADA,2200,TIDAK,PDAM,NON FURNISHED,1500000000
27,KOTA BEKASI,BEKASI UTARA,LANDED HOUSE,BEKAS,120,150,SHM,4,2,3,2,ADA,3300,TIDAK,PDAM,SEMI FURNISHED,950000000
28,KOTA BEKASI,BEKASI UTARA,LANDED HOUSE,BEKAS,108,69,SHM,6,2,3,3,ADA,2200,TIDAK,PDAM,SEMI FURNISHED,1350000000
29,KOTA BEKASI,BEKASI UTARA,LANDED HOUSE,BARU,90,122,SHM,8,2,3,3,ADA,2200,TIDAK,SUMUR BOR,FULL FURNISHED,1700000000
30,KOTA BEKASI,PONDOK GEDE,LANDED HOUSE,BARU,61,73,SHM,5,2,3,1,ADA,2200,TIDAK,PDAM,NON FURNISHED,700000000
31,KOTA BANDUNG,CIBEUNYING KALER,LANDED HOUSE,BEKAS,275,375,SHM,8,3,5,4,ADA,3500,TIDAK,PAM,NON FURNISHED,2500000000
32,KOTA BANDUNG,ANTAPANI,LANDED HOUSE,BEKAS,114,160,SHM,8,2,4,3,ADA,2200,TIDAK,SUMUR BOR,NON FURNISHED,1400000000
33,KOTA BANDUNG,RANCAEKEK,LANDED HOUSE,BARU,70,45,SHM,8,2,2,2,ADA,1300,TIDAK,PAM,NON FURNISHED, 470500000
34,KOTA BANDUNG,COBLONG,LANDED HOUSE,BEKAS,176,135,HGB,8,2,4,4,ADA,2200,TIDAK,SUMUR BOR,SEMI FURNISHED,2300000000
35,KOTA BANDUNG,CIJAURA,LANDED HOUSE,BEKAS,126,120,SHM,8,2,5,2,ADA,2200,ADA,SUMUR BOR,NON FURNISHED,1200000000
36,JAKARTA TIMUR,CIPAYUNG,LANDED HOUSE,BARU,82,179,SHM,8,2,5,4,ADA,2200,TIDAK,PDAM,SEMI FURNISHED,1700000000
37,KOTA BANDUNG,LENGKONG,LANDED HOUSE,BARU,140,160,SHM,8,2,5,2,ADA,1300,TIDAK,PDAM,NON FURNISHED,2400000000
38,KOTA BANDUNG,ARCAMANIK,LANDED HOUSE,BEKAS,200,150,SHM,8,1,4,3,ADA,3500,TIDAK,SUMUR BOR,NON FURNISHED,2200000000
39,KOTA BANDUNG,GEGERKALONG,LANDED HOUSE,BARU,125,120,SHM,8,2,4,3,TIDAK,2200,TIDAK,PDAM,NON FURNISHED,2500000000
40,KOTA BANDUNG,SUKASARI,LANDED HOUSE,BEKAS,120,177,SHM,8,2,4,3,ADA,2200,TIDAK,PDAM,SEMI FURNISHED,1600000000
41,KOTA BANDUNG,JATISAMPURNA,LANDED HOUSE,BEKAS,122,190,SHM,8,2,4,4,ADA,2200,TIDAK,PAM,FULL FURNISHED,2700000000
42,KOTA BEKASI,BEKASI UTARA,LANDED HOUSE,BEKAS,70,100,SHM,8,2,3,2,ADA,1300,TIDAK,PDAM,NON FURNISHED,725000000
43,KOTA BEKASI,PONDOK GEDE,LANDED HOUSE,BEKAS,375,250,SHM,8,2,4,3,ADA,4400,TIDAK,PAM,SEMI FURNISHED,3800000000
44,KOTA BEKASI,BEKASI BARAT,LANDED HOUSE,BEKAS,79,152,SHM,8,2,3,3,ADA,1300,TIDAK,KOMBINASI,NON FURNISHED,1300000000
45,KOTA BEKASI,BEKASI UTARA,LANDED HOUSE,BEKAS,60,120,SHM,8,2,3,2,ADA,1300,TIDAK,PAM,NON FURNISHED,650000000
46,KOTA BEKASI,BEKASI SELATAN,LANDED HOUSE,BEKAS,56,75,SHM,8,2,3,2,ADA,2200,TIDAK,PAM,NON FURNISHED,750000000
47,KOTA BANDUNG,CICENDO,LANDED HOUSE,BEKAS,188,250,SHM,8,2,5,4,ADA,3300,TIDAK,PAM,NON FURNISHED,4500000000
48,KOTA BANDUNG,BANDUNG KIDUL,LANDED HOUSE,BEKAS,195,350,SHM,8,2,5,5,ADA,4600,TIDAK,PAM,NON FURNISHED,3100000000
49,JAKARTA SELATAN,KEBAYORAN LAMA,APARTEMENT,BEKAS,90,117,SHM,8,1,3,2,ADA,106000,TIDAK,PAM,FULL FURNISHED,3500000000
50,JAKARTA SELATAN,TEBET,APARTEMENT,BEKAS,150,76,HGB,8,1,2,2,ADA,2200,TIDAK,PAM,FULL FURNISHED,3100000000
51,KABUPATEN BANDUNG,JATINANGOR,LANDED HOUSE,BEKAS,140,50,SHM,8,2,2,1,TIDAK,1300,TIDAK,PAM,NON FURNISHED,910000000
52,KABUPATEN BANDUNG,CILEUNYI,LANDED HOUSE,BEKAS,201,450,SHM,8,3,17,17,ADA,5000,TIDAK,PAM,NON FURNISHED,4000000000
53,KABUPATEN BANDUNG,SUKARAPIH,LANDED HOUSE,BEKAS,60,30,SHM,8,1,2,1,TIDAK,900,TIDAK,PDAM,NON FURNISHED,250000000
54,KABUPATEN BANDUNG,JATINANGOR,LANDED HOUSE,BEKAS,168,168,SHM,8,2,5,3,ADA,2200,TIDAK,SUMUR BOR,NON FURNISHED,950000000
55,KABUPATEN BANDUNG,CIKERUH,LANDED HOUSE,BEKAS,1000,600,SHM,8,2,10,11,ADA,3500,TIDAK,PAM,NON FURNISHED,3500000000
56,KABUPATEN BANDUNG,SAYAN,LANDED HOUSE,BEKAS,88,49,SHM,8,2,3,1,TIDAK,2200,TIDAK,PDAM,NON FURNISHED,710000000
57,KABUPATEN BANDUNG,JATINANGOR,LANDED HOUSE,BEKAS,144,240,SHM,8,2,11,11,TIDAK,5500,TIDAK,SUMUR BOR,FULL FURNISHED,2200000000
58,KABUPATEN BANDUNG,CIMANGGUNG,LANDED HOUSE,BEKAS,2552,100,SHM,8,2,2,2,TIDAK,1300,TIDAK,PAM,SEMI FURNISHED,1600000000
59,KABUPATEN BANDUNG,SUKAMANTRI,LANDED HOUSE,BEKAS,1400,160,SHM,8,1,3,22,ADA,1300,TIDAK,SUMUR BOR,FULL FURNISHED,1400000000
60,KABUPATEN BANDUNG,CIPACING,LANDED HOUSE,BEKAS,140,140,SHM,8,1,2,2,ADA,1300,TIDAK,SUMUR BOR,FULL FURNISHED,950000000
61,KABUPATEN BANDUNG,PADALARANG,LANDED HOUSE,BARU,189,200,SHM,2,2,4,3,ADA,2200,TIDAK ,SUMUR BOR,SEMI FURNISHED,2800000000
62,KOTA BANDUNG,SUKAJADI,LANDED HOUSE,BEKAS,172,160,SHM,2,1,4,2,ADA,2200,TIDAK,KOMBINASI,NON FURNISH,2350000000
63,KOTA BANDUNG,BUAHBATU,LANDED HOUSE,BARU,220,500,SHM,3,3,5,4,ADA,3500,ADA,SUMUR BOR,NON FURNISH,4850000000
64,KOTA BANDUNG,LENGKONG,LANDED HOUSE,BEKAS,190,320,SHM,2,2,6,4,ADA,2200,TIDAK,KOMBINASI,NON FURNISH,10000000000
65,KOTA BANDUNG,PARONGPONG,LANDED HOUSE,BARU,72,90,SMH,2,2,2,2,ADA,1300,TIDAK ,KOMBINASI,NON FURNISH,1000000000
66,KOTA BANDUNG,PADALARANG,LANDED HOUSE,BARU,126,110,SHM,2,1,2,2,ADA,2200,TIDAK,SUMUR BOR,FULL FURNISH,2150000000
67,KOTA BANDUNG,BOJONGLOA TIMUR,LANDED HOUSE,BARU,70,50,SHM,2,1,2,2,ADA,1300,TIDAK ,SUMUR BOR,NON FURNISH,274000000
68,KOTA BANDUNG,MARGAASIH,LANDED HOUSE,BEKAS,60,36,SHM,2,1,2,1,ADA,1300,TIDAK,SUMUR BOR,NON FURNISH,216000000
69,KOTA BANDUNG,KATAPANG,LANDED HOUSE,BARU,84,50,SHM,2,1,1,1,ADA,1300,TIDAK ,SUMUR BOR,SEMI FURNISHED,301000000
70,BEKASI,CIKARANG,LANDED HOUSE,BEKAS,225,121,SHM,2,2,3,2,ADA,2200,TIDAK,PDAM,NON FURNISH,1000000000
71,BEKASI,CIKARANG,LANDED HOUSE,BEKAS,450,700,SHM,2,2,3,2,ADA,3500,TIDAK ,PDAM,FURNISH,6000000000
72,BEKASI,MEDAN SATRIA,LANDED HOUSE,BARU,100,150,SHM,2,2,3,2,ADA,2200,TIDAK,SUMUR BOR,NON FURNISH,1600000000
73,TANGGERANG,GADING SERPONG,LANDED HOUSE,BARU,57,63,SHM,2,2,3,3,ADA,2200,TIDAK ,SUMUR BOR,NON FURNISH,650000000
74,DEPOK,SUKMAJAYA,LANDED HOUSE,BEKAS,172,170,SHM,2,1,3,2,ADA,2200,TIDAK,PDAM,FULL FURNISH,1740000000
75,DEPOK,CIMANGGIS,LANDED HOUSE,BEKAS,106,165,SHM,2,2,4,3,ADA,2200,TIDAK ,SUMUR BOR,NON FURNISH,1930000000
76,DEPOK,SA ANGAN,LANDED HOUSE,BARU,60,100,SHM,2,2,3,2,ADA,2200,TIDAK,SUMUR BOR,NON FURNISH,650000000
77,DEPOK,CITAYAM,LANDED HOUSE,BARU,90,100,SHM,2,1,4,3,ADA,2200,TIDAK ,SUMUR BOR,SEMI FURNISH,1490000000
78,KABUPATEN BANDUNG,CIMAHI,LANDED HOUSE,BARU,120,80,SHM,2,1,3,2,ADA,1300,TIDAK,SUMUR BOR,NON FURNISH,450000000
79,BANDUNG,CICENDO,APARTEMENTT,BARU,153,153,HGB,4,1,3,2,ADA,8800,TIDAK ,SUMUR BOR,SEMI FURNISH,3000000000
80,SURABAYA,PAKU ON CITY,LANDED HOUSE,BEKAS,200,250,HGB,2,2,3,3,ADA,2200,TIDAK,PDAM,NON FURNISH,3900000000
81,SURABAYA,CITRALAND,LANDED HOUSE,BARU,210,400,SHM,3,3,5,5,ADA,4400,TIDAK ,PDAM,NON FURNISH,11000000000
82,SURABAYA,CITRALAND,LANDED HOUSE,BARU,264,399,HGB,4,3,4,4,ADA,2200,TIDAK,PDAM,NON FURNISH,7200000000
83,SURABAYA,CITRALAND,LANDED HOUSE,BARU,197,405,HGB,4,3,6,6,ADA,4400,ADA,PDAM,NON FURNISH,6000000000
84,SURABAYA,CITRALAND,LANDED HOUSE,BARU,240,580,HGB,3,3,5,6,ADA,5500,TIDAK,PDAM,NON FURNISH,8100000000
85,SURABAYA,GAYUNGAN,APARTEMENTT,BARU,64,64,HGB,4,1,2,2,ADA,2200,TIDAK ,PDAM,NON FURNISH,750000000
86,KOTA BANDUNG,PAJAJARAN,APARTEMENTT,BEKAS,152,152,HGB,4,1,3,2,ADA,4400,TIDAK,PDAM,FULL FURNISH,3000000000
87,KOTA BANDUNG,CIUMBULEUIT,APARTEMENTT,BEKAS,35,35,SHM,4,2,1,1,ADA,2200,TIDAK ,PDAM,FULL FURNISH,1000000000
88,KOTA BANDUNG,PAPAJARAN,APARTEMENTT,BEKAS,63,63,SHM,4,1,2,1,ADA,2200,TIDAK,SUMUR BOR,FULL FURNISH,1250000000
89,KOTA BANDUNG,PASIR KALIKI,APARTEMENTT,BEKAS,90,90,SHM,4,1,3,3,ADA,2200,TIDAK ,SUMUR BOR,FULL FURNISH,2300000000
90,KOTA BANDUNG,CIDADAP,APARTEMENTT,BEKAS,126,126,HGB,4,1,3,2,ADA,2200,TIDAK,SUMUR BOR,FULL FURNISH,3250000000
91,KOTA BANDUNG,BUAH BATU,LANDED HOUSE,BARU,60,40,SHM,8,1,2,1,ADA,1300,TIDAK,PDAM,SEMI FURNISHED,297000000
92,KOTA BEKASI,MEDAN SATRIA,LANDED HOUSE,BARU,100,150,SHM,4,2,3,2,ADA,2200,ADA,PDAM,NON FURNISHED,1600000000
93,KOTA BANDUNG,SARIJADI,LANDED HOUSE,BEKAS,85,75,SHM,3,2,4,1,TIDAK,1300,TIDAK,PDAM,NON FURNISHED,650000000
94,SEMARANG,GUNUNG PATI,LANDED HOUSE,BARU,120,65,SHM,4,1,2,1,ADA,1300,TIDAK,PDAM,NON FURNISHED,500000000
95,TANGGERANG SELATAN,PONDOK AREN,LANDED HOUSE,BEKAS,3000,750,SHM,5,2,4,4,ADA,16000,ADA,PAM,SEMI FURNISHED,3700000000
96,GADING SEONG,TANGERANG,LANDED HOUSE,BARU,57,63,SHM,4,2,3,3,ADA,2200,TIDAK,PDAM,NON FURNISHED,650000000
97,KOTA BANDUNG,PASIR KALIKI,LANDED HOUSE,BARU,139,180,SHM,6,2,4,3,ADA,1300,ADA,PDAM,NON FURNISHED,3500000000
98,KOTA BEKASI,JATI BENING,LANDED HOUSE,BARU,51,63,SHM,3,2,3,2,ADA,2200,ADA,PDAM,NON FURNISHED,700000000
99,JAKARTA SELATAN,PONDOK INDAH,LANDED HOUSE,BEKAS,602,477,SHM,4,2,6,4,ADA,10600,TIDAK,PDAM,SEMI FURNISHED,19500000000
100,JAKARTA TIMUR,CIPINANG,LANDED HOUSE,BARU,37,56,SHM,4,2,2,2,ADA,2200,ADA,PDAM,NON FURNISHED,1250000000
101,KOTA BANDUNG,KOTA BARU PARAHYANGAN,LANDED HOUSE,BARU,189,200,SHM,4,2,4,3,ADA,2200,TIDAK,PDAM,SEMI FURNISHED,2800000000
102,KOTA BOGOR,SENTUL CITY,LANDED HOUSE,BARU,735,285,HGB,6,2,4,3,ADA,33000,TIDAK,PDAM,SEMI FURNISHED,1500000000
103,KOTA BOGOR,SUMMARECON KOTA BOGOR,LANDED HOUSE,BARU,216,307,SHM,4,2,4,4,ADA,4400,TIDAK,PDAM,NON FURNISHED,5650000000
104,KOTA BANDUNG,KOTA BARU PARAHYANGAN,LANDED HOUSE,BEKAS,126,110,SHM,4,2,2,2,ADA,3500,TIDAK,PDAM,FULL FURNISHED,2450000000
105,KOTA BANDUNG,CIBADUYUT,LANDED HOUSE,BEKAS,70,50,SHM,9,1,2,2,TIDAK,1300,TIDAK,SUMUR BOR,NON FURNISHED,274000000
106,KOTA BANDUNG,CIHAMPELAS,LANDED HOUSE,BEKAS,172,160,SHM,6,1,4,2,ADA,2200,TIDAK,PDAM,NON FURNISHED,235000000
107,KOTA BANDUNG,KATAPANG,LANDED HOUSE,BEKAS,84,50,SHM,5,1,1,1,TIDAK,1300,TIDAK,SUMUR BOR,SEMI FURNISHED,301000000
108,KOTA BANDUNG,CIUMBULEUIT,APARTEMENTT,BEKAS,70,35,SHM,6,1,2,1,TIDAK,1300,TIDAK,PDAM,SEMI FURNISHED,570000000
109,SEMARANG,KALICARI,LANDED HOUSE,BARU,90,65,SHM,4,1,3,1,TIDAK,1300,TIDAK,SUMUR BOR,NON FURNISHED,650000000
110,SEMARANG,GUNUNG PATI,LANDED HOUSE,BARU,120,45,SHM,9,1,2,1,TIDAK,1300,TIDAK,SUMUR BOR,SEMI FURNISHED,497000000
111,SEMARANG,TEMBALANG,LANDED HOUSE,BARU,87,30,SHM,9,1,2,1,ADA,1300,TIDAK,SUMUR BOR,SEMI FURNISHED,790000000
112,YOGYAKARTA,BANTUL,LANDED HOUSE,BARU,150,123,SHM,6,2,4,2,ADA,2200,TIDAK,SUMUR BOR,SEMI FURNISHED,1350000000
113,YOGYAKARTA,KOTA GEDE,LANDED HOUSE,BARU,162,130,SHM,4,1,3,2,ADA,1300,TIDAK,SUMUR BOR,SEMI FURNISHED,1350000000
114,YOGYAKARTA,MERGANGSAN,LANDED HOUSE,BARU,215,200,SHM,4,3,9,5,ADA,2200,ADA,SUMUR BOR,SEMI FURNISHED,3000000000
115,DENPASAR,RENON,LANDED HOUSE,BARU,118,152,SHM,3,2,3,3,ADA,5500,TIDAK,PAM,SEMI FURNISHED,3200000000
116,MALANG,BLIMBING,LANDED HOUSE,BEKAS,180,150,SHM,6,1,3,1,ADA,2200,TIDAK,PAM,FULL FURNISHED,1980000000
117,DENPASAR,UBUNG KAJA,LANDED HOUSE,BEKAS,155,155,SHM,6,2,4,3,ADA,4400,TIDAK,SUMUR BOR,NON FURNISHED,1800000000
118,MALANG ,RAMPAL CEKALET,LANDED HOUSE,BEKAS,423,250,SHM,5,1,6,3,ADA,1300,TIDAK,PDAM,NON FURNISHED,3500000000
119,DENPASAR,PANJER,LANDED HOUSE,BARU,638,400,SHM,6,2,5,5,ADA,7700,TIDAK,SUMUR BOR,FULL FURNISHED,12000000000
120,JAKARTA SELATAN,TB SIMATUPANG,APARTEMENTT,BARU,236,108,SHM,4,1,2,2,TIDAK,4400,TIDAK,PDAM,FULL FURNISHED,204000000
121,KOTA BANDUNG,SUKASARI,LANDED HOUSE,BARU,155,212,SHGB,2,3,5,4,ADA,2200,ADA,PDAM,NON FURNISHED,2800000000
122,KOTA BANDUNG,SUKASARI,LANDED HOUSE,BARU,150,200,SHGB,2,3,5,4,ADA,4400,ADA,PDAM,FURNISHED,2880000000
123,KOTA BANDUNG,SARIWANGI,LANDED HOUSE,BARU,100,75,SHM,2,1,3,1,TIDAK,1300,TIDAK,PAM TANDOM TANAM,NON FURNISHED,975000000
124,KOTA BANDUNG,SUKASARI,LANDED HOUSE,BARU,118,150,SHM,2,2,3,3,ADA,2200,ADA,PDAM,NON FURNISHED,2200000000
125,KOTA BANDUNG,PARONGPONG,LANDED HOUSE,BARU,90,70,SHGB,2,2,3,2,TIDAK,1300,ADA,PDAM,NON FURNISHED,799000000
126,KOTA BANDUNG,SETIABUDI,LANDED HOUSE,BARU,90,140,SHM,4,3,4,2,ADA,2200,ADA,PDAM,NON FURNISHED,950000000
127,KOTA BANDUNG,DAGO,LANDED HOUSE,BARU,647,500,SHM,3,3,5,4,ADA,5500,ADA,PDAM,FURNISHED,9900000000
128,KOTA BANDUNG,CIWARUGA,LANDED HOUSE,BARU,360,276,SHM,2,3,3,3,ADA,5500,ADA,PDAM,NON FURNISHED,4500000000
